Designation	Field	Group	Date	Trap	Time	Count	Xcoord	Ycoord	Distance	Direction	Radians	Nrelease
w26	1	1	1	2	3	0	48	54	21.63330765	393.6900675	6.871187911	200
w32	1	1	1	2	3	0	48	66	32.31098884	381.8014095	6.663691684	200
z5	1	1	1	2	3	0	54	12	30	143.1301024	2.498091545	200
z11	1	1	1	2	3	0	54	24	21.63330765	123.6900675	2.15879893	200
z17	1	1	1	2	3	0	54	36	18	90	1.570796327	200
z23	1	1	1	2	3	0	54	48	21.63330765	56.30993247	0.982793723	200
z29	1	1	1	2	3	0	54	60	30	396.8698976	6.926686416	200
ac2	1	1	1	2	3	0	60	6	38.41874542	141.3401917	2.466851711	200
ac8	1	1	1	2	3	0	60	18	30	126.8698976	2.214297436	200
ac14	1	1	1	2	3	0	60	30	24.73863375	104.0362435	1.81577499	200
ac20	1	1	1	2	3	0	60	42	24.73863375	75.96375653	1.325817664	200
ac26	1	1	1	2	3	0	60	54	30	53.13010235	0.927295218	200
ac32	1	1	1	2	3	0	60	66	38.41874542	398.6598083	6.957926249	200
af5	1	1	1	2	3	0	66	12	38.41874542	128.6598083	2.245537269	200
af11	1	1	1	2	3	0	66	24	32.31098884	111.8014095	1.951302704	200
af17	1	1	1	2	3	0	66	36	30	90	1.570796327	200
af23	1	1	1	2	3	0	66	48	32.31098884	68.19859051	1.19028995	200
af29	1	1	1	2	3	0	66	60	38.41874542	51.34019175	0.896055385	200
b5	1	1	1	2	19	0	6	12	38.41874542	231.3401917	4.037648038	200
b11	1	1	1	2	19	0	6	24	32.31098884	248.1985905	4.331882603	200
b17	1	1	1	2	19	0	6	36	30	270	4.71238898	200
b23	1	1	1	2	19	0	6	48	32.31098884	291.8014095	5.092895357	200
b29	1	1	1	2	19	0	6	60	38.41874542	308.6598083	5.387129923	200
e2	1	1	1	2	19	0	12	6	38.41874542	-141.3401917	-2.466851711	200
e8	1	1	1	2	19	0	12	18	30	233.1301024	4.068887872	200
e14	1	1	1	2	19	0	12	30	24.73863375	255.9637565	4.467410317	200
e20	1	1	1	2	19	0	12	42	24.73863375	284.0362435	4.957367644	200
e26	1	1	1	2	19	0	12	54	30	306.8698976	5.355890089	200
e32	1	1	1	2	19	0	12	66	38.41874542	321.3401917	5.608444365	200
h5	1	1	1	2	19	0	18	12	30	-143.1301024	-2.498091545	200
h11	1	1	1	2	19	0	18	24	21.63330765	236.3099325	4.124386377	200
h17	1	1	1	2	19	0	18	36	18	270	4.71238898	200
h23	1	1	1	2	19	0	18	48	21.63330765	303.6900675	5.300391584	200
h29	1	1	1	2	19	0	18	60	30	323.1301024	5.639684198	200
k2	1	1	1	2	19	0	24	6	32.31098884	-158.1985905	-2.761086276	200
k8	1	1	1	2	19	0	24	18	21.63330765	-146.3099325	-2.55359005	200
k14	1	1	1	2	19	0	24	30	13.41640786	243.4349488	4.248741371	200
k20	1	1	1	2	19	0	24	42	13.41640786	296.5650512	5.176036589	200
k26	1	1	1	2	19	0	24	54	21.63330765	326.3099325	5.695182704	200
k32	1	1	1	2	19	0	24	66	32.31098884	338.1985905	5.90267893	200
n5	1	1	1	2	19	0	30	12	24.73863375	-165.9637565	-2.89661399	200
n11	1	1	1	2	19	0	30	24	13.41640786	-153.4349488	-2.677945045	200
n17	1	1	1	2	19	0	30	36	6	270	4.71238898	200
n23	1	1	1	2	19	0	30	48	13.41640786	333.4349488	5.819537698	200
n29	1	1	1	2	19	0	30	60	24.73863375	345.9637565	6.038206644	200
q2	1	1	1	2	19	0	36	6	30	180	3.141592654	200
q8	1	1	1	2	19	0	36	18	18	180	3.141592654	200
q14	1	1	1	2	19	1	36	30	6	180	3.141592654	200
q20	1	1	1	2	19	0	36	42	6	360	6.283185307	200
q26	1	1	1	2	19	0	36	54	18	360	6.283185307	200
q32	1	1	1	2	19	0	36	66	30	360	6.283185307	200
t5	1	1	1	2	19	0	42	12	24.73863375	165.9637565	2.89661399	200
t11	1	1	1	2	19	0	42	24	13.41640786	153.4349488	2.677945045	200
t17	1	1	1	2	19	0	42	36	6	90	1.570796327	200
t23	1	1	1	2	19	0	42	48	13.41640786	386.5650512	6.746832916	200
t29	1	1	1	2	19	0	42	60	24.73863375	374.0362435	6.52816397	200
w2	1	1	1	2	19	0	48	6	32.31098884	158.1985905	2.761086276	200
w8	1	1	1	2	19	0	48	18	21.63330765	146.3099325	2.55359005	200
w14	1	1	1	2	19	0	48	30	13.41640786	116.5650512	2.034443936	200
w20	1	1	1	2	19	0	48	42	13.41640786	63.43494882	1.107148718	200
w26	1	1	1	2	19	0	48	54	21.63330765	393.6900675	6.871187911	200
w32	1	1	1	2	19	0	48	66	32.31098884	381.8014095	6.663691684	200
z5	1	1	1	2	19	0	54	12	30	143.1301024	2.498091545	200
